DATA_TAB_GENERALINFO	SCL_UNITID	SCL_NAME	SPORT_CODE	SPORT_NAME	ACADEMIC_YEAR	SCL_DIV_14	SCL_SUB_14	CONFNAME_14	D1_FB_CONF_14	SCL_HBCU	SCL_PRIVATE	DATA_TAB_MULTIYRRATE	MULTIYR_APR_RATE_1000_RAW	MULTIYR_APR_RATE_1000_CI	MULTIYR_APR_RATE_1000_OFFICIAL	MULTIYR_ELIG_RATE	MULTIYR_RET_RATE	MULTIYR_SQUAD_SIZE	DATA_TAB_ANNUALRATE	APR_RATE_2014_1000	ELIG_RATE_2014	RET_RATE_2014	NUM_OF_ATHLETES_2014	APR_RATE_2013_1000	ELIG_RATE_2013	RET_RATE_2013	NUM_OF_ATHLETES_2013	APR_RATE_2012_1000	ELIG_RATE_2012	RET_RATE_2012	NUM_OF_ATHLETES_2012	APR_RATE_2011_1000	ELIG_RATE_2011	RET_RATE_2011	NUM_OF_ATHLETES_2011	APR_RATE_2010_1000	ELIG_RATE_2010	RET_RATE_2010	NUM_OF_ATHLETES_2010	APR_RATE_2009_1000	ELIG_RATE_2009	RET_RATE_2009	NUM_OF_ATHLETES_2009	APR_RATE_2008_1000	ELIG_RATE_2008	RET_RATE_2008	NUM_OF_ATHLETES_2008	APR_RATE_2007_1000	ELIG_RATE_2007	RET_RATE_2007	NUM_OF_ATHLETES_2007	APR_RATE_2006_1000	ELIG_RATE_2006	RET_RATE_2006	NUM_OF_ATHLETES_2006	APR_RATE_2005_1000	ELIG_RATE_2005	RET_RATE_2005	NUM_OF_ATHLETES_2005	APR_RATE_2004_1000	ELIG_RATE_2004	RET_RATE_2004	NUM_OF_ATHLETES_2004	DATA_TAB_PUBLICAWARD	PUB_AWARD_15	PUB_AWARD_14	PUB_AWARD_13	PUB_AWARD_12	PUB_AWARD_11	PUB_AWARD_10	PUB_AWARD_09	PUB_AWARD_08	PUB_AWARD_07	PUB_AWARD_06	RAW_OR_CI
 	100654	Alabama A&M University	20	Women's Bowling	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	1000	1000	1000	1	1	24	 	1000	1	1	5	1000	1	1	6	1000	1	1	8	1000	1	1	5	950	.9	1	5	1000	1	1	8	1000	1	1	7	958	.9166666667	1	6	875	.75	1	8	1000	1	1	6	1000	1	1	11	-99	1	0	0	0	0	0	0	0	0	1	1
 	100654	Alabama A&M University	14	Men's Track, Indoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	932	958	932	.8833333333	.9829059829	62	 	910	.8823529412	.9393939394	18	932	.8666666667	1	15	945	.8928571429	1	15	946	.8928571429	1	14	922	.8076923077	.96	13	1000	.9583333333	1	12	-99	-99	-99	-99	-99	-99	-99	-99	903	.8888888889	.9166666667	19	926	.8518518519	1	14	938	.9166666667	.9583333333	12	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	4	Football	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	932	945	932	.8860971524	.9612794613	321	 	905	.8108108108	.9797297297	78	933	.9044585987	.9548387097	86	940	.8933333333	.9597315436	78	951	.9366197183	.9507042254	79	931	.9160305344	.9375	69	935	.9090909091	.9465648855	74	930	.9016393443	.95	64	919	.8590604027	.9798657718	75	941	.9111111111	.962962963	70	921	.875862069	.9655172414	74	871	.8601398601	.8811188811	74	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	1	Baseball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	931	954	931	.9019607843	.9536423841	80	 	976	.9761904762	.9761904762	21	910	.8717948718	.9487179487	22	895	.8541666667	.914893617	25	957	.9166666667	1	12	906	.875	.9375	16	969	.84375	1	16	938	.9375	.9375	16	953	.90625	1	16	923	.8974358974	.9487179487	21	917	.880952381	.9523809524	21	975	.975	.975	20	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	19	Women's Basketball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	990	997	990	.9902912621	.9898989899	53	 	980	1	.9565217391	14	1000	1	1	14	979	.9583333333	1	12	1000	1	1	13	1000	1	1	11	981	.962962963	.96	14	967	.9666666667	.9666666667	15	1000	1	1	14	1000	1	1	14	1000	1	1	14	960	1	.92	13	-99	0	1	0	0	0	0	1	1	0	0	2
 	100654	Alabama A&M University	33	Women's Tennis	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	952	983	983	.90625	1	17	 	-99	-99	-99	-99	1000	1	1	4	1000	1	1	5	889	.7777777778	1	5	-99	-99	-99	-99	950	.9	1	5	1000	1	1	6	1000	1	1	6	938	.875	1	4	850	.9	.8	5	1000	1	1	5	-99	0	0	0	0	0	0	0	0	0	0	1
 	100654	Alabama A&M University	2	Men's Basketball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	964	984	964	.9176470588	.9879518072	43	 	958	.9166666667	1	12	975	.9	1	10	1000	1	1	8	940	.88	.96	13	889	.9565217391	.8181818182	12	844	.875	.8125	8	915	.9166666667	.9130434783	12	964	.9642857143	.9642857143	14	923	.9615384615	.8461538462	13	909	.9090909091	.9090909091	11	950	.95	.95	10	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	34	Women's Track, Indoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	972	988	972	.9555555556	.9777777778	46	 	1000	1	.9411764706	9	952	.9523809524	.9523809524	11	962	.9230769231	1	13	981	.9615384615	1	13	953	.875	1	16	962	.9230769231	1	13	-99	-99	-99	-99	-99	-99	-99	-99	982	.9642857143	1	14	1000	1	1	12	938	.875	1	16	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	35	Women's Track, Outdoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	967	984	967	.9433962264	.9811320755	54	 	1000	1	1	11	931	.8965517241	.9655172414	15	948	.9310344828	.9655172414	15	981	.9615384615	1	13	971	.8823529412	1	17	969	.9375	1	16	898	.8	1	13	955	.9090909091	1	11	983	.9666666667	1	15	1000	1	1	12	938	.875	1	16	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	31	Women's Soccer	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	947	967	947	.8947368421	.9867549669	78	 	972	.9444444444	.9722222222	18	952	.9032258065	.9677419355	16	965	.9302325581	1	23	905	.8095238095	1	21	926	.8529411765	1	17	955	.8823529412	1	17	984	.9677419355	1	16	974	.9736842105	.9736842105	19	1000	1	1	16	963	.962962963	.962962963	14	960	.94	.98	25	-99	0	0	0	0	0	0	0	0	0	0	2
